input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
L-1236,SIDM00313,sidm,resolved,SIDM00313,sidm,sanger,,,,L1236; SIDM00313
L-363,SIDM00312,sidm,resolved,SIDM00312,sidm,sanger,,,,L363; SIDM00312
L-428,SIDM00327,sidm,resolved,SIDM00327,sidm,sanger,,,,L428; SIDM00327
L-540,SIDM00329,sidm,resolved,SIDM00329,sidm,sanger,,,,L540; SIDM00329
LAMA-84,SIDM00346,sidm,resolved,SIDM00346,sidm,sanger,,,,LAMA84; SIDM00346
LB771-HNC,SIDM00182,sidm,resolved,SIDM00182,sidm,sanger,,,,LB771HNC; SIDM00182
LB831-BLC,SIDM00181,sidm,resolved,SIDM00181,sidm,sanger,,,,LB831BLC; SIDM00181
LB996-RCC,SIDM00180,sidm,resolved,SIDM00180,sidm,sanger,,,,LB996RCC; SIDM00180
LC-1-sq,SIDM00300,sidm,resolved,SIDM00300,sidm,sanger,,,,LC1SQ; SIDM00300
LC4-1,SIDM00549,sidm,resolved,SIDM00549,sidm,sanger,,,,LC41; SIDM00549
LCLC-103H,SIDM00345,sidm,resolved,SIDM00345,sidm,sanger,,,,LCLC103H; SIDM00345
LCLC-97TM1,SIDM00344,sidm,resolved,SIDM00344,sidm,sanger,,,,LCLC97TM1; SIDM00344
LK-2,SIDM00548,sidm,resolved,SIDM00548,sidm,sanger,,,,LK2; SIDM00548
LN-18,SIDM00685,sidm,resolved,SIDM00685,sidm,sanger,,,,LN18; SIDM00685
LN-229,SIDM00684,sidm,resolved,SIDM00684,sidm,sanger,,,,LN229; SIDM00684
LN-405,SIDM00343,sidm,resolved,SIDM00343,sidm,sanger,,,,LN405; SIDM00343
LNCaP-Clone-FGC,SIDM00683,sidm,resolved,SIDM00683,sidm,sanger,,,,LNCAPCLONEFGC; SIDM00683
LNZTA3WT4,SIDM01220,sidm,resolved,SIDM01220,sidm,sanger,,,,LNZTA3WT4; SIDM01220
LOUCY,SIDM00342,sidm,resolved,SIDM00342,sidm,sanger,,,,LOUCY; SIDM00342
LOU-NH91,SIDM00341,sidm,resolved,SIDM00341,sidm,sanger,,,,LOUNH91; SIDM00341
LoVo,SIDM00839,sidm,resolved,SIDM00839,sidm,sanger,,,,LOVO; SIDM00839
LOXIMVI,SIDM00149,sidm,resolved,SIDM00149,sidm,sanger,,,,LOXIMVI; SIDM00149
LS-123,SIDM00776,sidm,resolved,SIDM00776,sidm,sanger,,,,LS123; SIDM00776
LS-180,SIDM00680,sidm,resolved,SIDM00680,sidm,sanger,,,,LS180; SIDM00680
LS-411N,SIDM00660,sidm,resolved,SIDM00660,sidm,sanger,,,,LS411N; SIDM00660
LS-513,SIDM00677,sidm,resolved,SIDM00677,sidm,sanger,,,,LS513; SIDM00677
LU-135,SIDM00294,sidm,resolved,SIDM00294,sidm,sanger,,,,LU135; SIDM00294
LU-139,SIDM00293,sidm,resolved,SIDM00293,sidm,sanger,,,,LU139; SIDM00293
LU-165,SIDM00292,sidm,resolved,SIDM00292,sidm,sanger,,,,LU165; SIDM00292
LU-65,SIDM00547,sidm,resolved,SIDM00547,sidm,sanger,,,,LU65; SIDM00547
LU-99A,SIDM01219,sidm,resolved,SIDM01219,sidm,sanger,,,,LU99A; SIDM01219
LXF-289,SIDM00339,sidm,resolved,SIDM00339,sidm,sanger,,,,LXF289; SIDM00339
M059J,SIDM00659,sidm,resolved,SIDM00659,sidm,sanger,,,,M059J; SIDM00659
M14,SIDM00003,sidm,resolved,SIDM00003,sidm,sanger,,,,M14; SIDM00003
MC-CAR,SIDM00636,sidm,resolved,SIDM00636,sidm,sanger,,,,MCCAR; SIDM00636
MCF7,SIDM00148,sidm,resolved,SIDM00148,sidm,sanger,,,,MCF7; SIDM00148
MDA-MB-157,SIDM00529,sidm,resolved,SIDM00529,sidm,sanger,,,,MDAMB157; SIDM00529
MDA-MB-175-VII,SIDM00633,sidm,resolved,SIDM00633,sidm,sanger,,,,MDAMB175VII; SIDM00633
MDA-MB-231,SIDM00146,sidm,resolved,SIDM00146,sidm,sanger,,,,MDAMB231; SIDM00146
MDA-MB-361,SIDM00528,sidm,resolved,SIDM00528,sidm,sanger,,,,MDAMB361; SIDM00528
MDA-MB-415,SIDM00630,sidm,resolved,SIDM00630,sidm,sanger,,,,MDAMB415; SIDM00630
MDA-MB-436,SIDM00629,sidm,resolved,SIDM00629,sidm,sanger,,,,MDAMB436; SIDM00629
MDA-MB-453,SIDM00272,sidm,resolved,SIDM00272,sidm,sanger,,,,MDAMB453; SIDM00272
MDA-MB-468,SIDM00628,sidm,resolved,SIDM00628,sidm,sanger,,,,MDAMB468; SIDM00628
MDST8,SIDM00527,sidm,resolved,SIDM00527,sidm,sanger,,,,MDST8; SIDM00527
ME-1,SIDM00338,sidm,resolved,SIDM00338,sidm,sanger,,,,ME1; SIDM00338
ME-180,SIDM00627,sidm,resolved,SIDM00627,sidm,sanger,,,,ME180; SIDM00627
MEG-01,SIDM00526,sidm,resolved,SIDM00526,sidm,sanger,,,,MEG01; SIDM00526
MEL-JUSO,SIDM00336,sidm,resolved,SIDM00336,sidm,sanger,,,,MELJUSO; SIDM00336
MES-SA,SIDM00625,sidm,resolved,SIDM00625,sidm,sanger,,,,MESSA; SIDM00625
Mewo,SIDM00545,sidm,resolved,SIDM00545,sidm,sanger,,,,MEWO; SIDM00545
MFE-280,SIDM00335,sidm,resolved,SIDM00335,sidm,sanger,,,,MFE280; SIDM00335
MFE-296,SIDM00334,sidm,resolved,SIDM00334,sidm,sanger,,,,MFE296; SIDM00334
MFE-319,SIDM00333,sidm,resolved,SIDM00333,sidm,sanger,,,,MFE319; SIDM00333
MFH-ino,SIDM00299,sidm,resolved,SIDM00299,sidm,sanger,,,,MFHINO; SIDM00299
MFM-223,SIDM00332,sidm,resolved,SIDM00332,sidm,sanger,,,,MFM223; SIDM00332
MG-63,SIDM00525,sidm,resolved,SIDM00525,sidm,sanger,,,,MG63; SIDM00525
MHH-CALL-2,SIDM00331,sidm,resolved,SIDM00331,sidm,sanger,,,,MHHCALL2; SIDM00331
MHH-ES-1,SIDM00386,sidm,resolved,SIDM00386,sidm,sanger,,,,MHHES1; SIDM00386
MHH-PREB-1,SIDM00388,sidm,resolved,SIDM00388,sidm,sanger,,,,MHHPREB1; SIDM00388
MIA-PaCa-2,SIDM00505,sidm,resolved,SIDM00505,sidm,sanger,,,,MIAPACA2; SIDM00505
MKN1,SIDM00271,sidm,resolved,SIDM00271,sidm,sanger,,,,MKN1; SIDM00271
MKN28,SIDM00260,sidm,resolved,SIDM00260,sidm,sanger,,,,MKN28; SIDM00260
MKN45,SIDM00247,sidm,resolved,SIDM00247,sidm,sanger,,,,MKN45; SIDM00247
