SIDM,cell_line_name,tissue
SIDM00260,MKN28,Stomach
SIDM00247,MKN45,Stomach
SIDM00441,ML-2,Lymphoid
SIDM00561,MLMA,Lymphoid
SIDM01265,MM1S,Lymphoid
SIDM00438,MN-60,Lymphoid
SIDM00532,MOG-G-CCM,CNS
SIDM00504,MOG-G-UVW,CNS
SIDM00437,MOLM-13,Lymphoid
SIDM00434,MOLP-8,Lymphoid
SIDM00433,MOLT-13,Lymphoid
SIDM00431,MOLT-16,Lymphoid
SIDM00145,MOLT-4,Lymphoid
SIDM01023,MONO-MAC-6,Lymphoid
SIDM00623,Mo-T,Lymphoid
SIDM00222,MPP-89,Lung
SIDM00562,MRK-nu-1,Breast
SIDM00245,MS-1,Lung
SIDM00638,MS751,Cervix
SIDM00640,MSTO-211H,Lung
SIDM00657,MV-4-11,Lymphoid
SIDM00429,NALM-6,Lymphoid
SIDM00641,NAMALWA,Lymphoid
SIDM00579,NB(TU)1-10,PNS
SIDM00578,NB1,PNS
SIDM00259,NB10,PNS
SIDM00258,NB12,PNS
SIDM00257,NB13,PNS
SIDM00256,NB14,PNS
SIDM00244,NB69,PNS
SIDM00156,NB7,PNS
SIDM00655,NCCIT,Testis
SIDM00654,NCI-H1048,Lung
SIDM00653,NCI-H1092,Lung
SIDM00651,NCI-H1155,Lung
SIDM00649,NCI-H1299,Lung
SIDM00646,NCI-H1341,Lung
SIDM00645,NCI-H1355,Lung
SIDM00642,NCI-H1417,Lung
SIDM00658,NCI-H1435,Lung
SIDM00751,NCI-H1563,Lung
SIDM00750,NCI-H1568,Lung
SIDM00749,NCI-H1573,Lung
SIDM00748,NCI-H1581,Lung
SIDM00747,NCI-H1623,Lung
SIDM00746,NCI-H1648,Lung
SIDM00745,NCI-H1650,Lung
SIDM00744,NCI-H1651,Lung
SIDM00743,NCI-H1666,Lung
SIDM00792,NCI-H1688,Lung
SIDM00742,NCI-H1693,Lung
SIDM00741,NCI-H1694,Lung
SIDM00740,NCI-H1703,Lung
SIDM00738,NCI-H1755,Lung
SIDM00754,NCI-H1781,Lung
SIDM00771,NCI-H1792,Lung
SIDM00755,NCI-H1793,Lung
